SalePrice,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SaleType,KitchenQual,BsmtQual,ExterQual,MSZoning
208500,5,2003,2003,196.0,856,856,1710,2,8,2,548,Normal,WD,Gd,Gd,Gd,RL
181500,8,1976,1976,0.0,1262,1262,1262,2,6,2,460,Normal,WD,TA,Gd,TA,RL
223500,5,2001,2002,162.0,920,920,1786,2,6,2,608,Normal,WD,Gd,Gd,Gd,RL
140000,5,1915,1970,0.0,756,961,1717,1,7,3,642,Abnorml,WD,Gd,TA,TA,RL
250000,5,2000,2000,350.0,1145,1145,2198,2,9,3,836,Normal,WD,Gd,Gd,Gd,RL
143000,5,1993,1995,0.0,796,796,1362,1,5,2,480,Normal,WD,TA,Gd,TA,RL
307000,5,2004,2005,186.0,1686,1694,1694,2,7,2,636,Normal,WD,Gd,Ex,Gd,RL
200000,6,1973,1973,240.0,1107,1107,2090,2,7,2,484,Normal,WD,TA,Gd,TA,RL
129900,5,1931,1950,0.0,952,1022,1774,2,8,2,468,Abnorml,WD,TA,TA,TA,RM
118000,6,1939,1950,0.0,991,1077,1077,1,5,1,205,Normal,WD,TA,TA,TA,RL
129500,5,1965,1965,0.0,1040,1040,1040,1,5,1,384,Normal,WD,TA,TA,TA,RL
345000,5,2005,2006,286.0,1175,1182,2324,3,11,3,736,Partial,New,Ex,Ex,Ex,RL
144000,6,1962,1962,0.0,912,912,912,1,4,1,352,Normal,WD,TA,TA,TA,RL
279500,5,2006,2007,306.0,1494,1494,1494,2,7,3,840,Partial,New,Gd,Gd,Gd,RL
157000,5,1960,1960,212.0,1253,1253,1253,1,5,1,352,Normal,WD,TA,TA,TA,RL
132000,8,1929,2001,0.0,832,854,854,1,5,2,576,Normal,WD,TA,TA,TA,RM
149000,7,1970,1970,180.0,1004,1004,1004,1,5,2,480,Normal,WD,TA,TA,TA,RL
90000,5,1967,1967,0.0,0,1296,1296,2,6,2,516,Normal,WD,TA,None,TA,RL
159000,5,2004,2004,0.0,1114,1114,1114,1,6,2,576,Normal,WD,Gd,TA,TA,RL
139000,6,1958,1965,0.0,1029,1339,1339,1,6,1,294,Abnorml,COD,TA,TA,TA,RL
325300,5,2005,2006,380.0,1158,1158,2376,3,9,3,853,Partial,New,Gd,Ex,Gd,RL
139400,7,1930,1950,0.0,637,1108,1108,1,6,1,280,Normal,WD,Gd,TA,TA,RM
230000,5,2002,2002,281.0,1777,1795,1795,2,7,2,534,Normal,WD,Gd,Gd,Gd,RL
129900,7,1976,1976,0.0,1040,1060,1060,1,6,2,572,Normal,WD,TA,Gd,TA,RM
154000,8,1968,2001,0.0,1060,1060,1060,1,6,1,270,Normal,WD,Gd,TA,TA,RL
256300,5,2007,2007,640.0,1566,1600,1600,2,7,3,890,Normal,WD,Gd,Gd,Gd,RL
134800,7,1951,2000,0.0,900,900,900,1,5,2,576,Normal,WD,Gd,TA,TA,RL
306000,5,2007,2008,200.0,1704,1704,1704,2,7,3,772,Normal,WD,Gd,Ex,Gd,RL
207500,6,1957,1997,0.0,1484,1600,1600,1,6,1,319,Normal,WD,TA,TA,TA,RL
68500,6,1927,1950,0.0,520,520,520,1,4,1,240,Normal,WD,Fa,TA,TA,RM
40000,4,1920,1950,0.0,649,649,1317,1,6,1,250,Normal,WD,TA,TA,TA,C (all)
149350,6,1966,2006,0.0,1228,1228,1228,1,6,1,271,Normal,WD,Gd,TA,TA,RL
179900,5,2007,2007,0.0,1234,1234,1234,2,7,2,484,Normal,WD,Gd,Ex,Gd,RL
165500,5,1959,1959,0.0,1398,1700,1700,1,6,2,447,Normal,WD,Gd,TA,TA,RL
277500,5,2005,2005,246.0,1561,1561,1561,2,6,2,556,Normal,WD,Ex,Ex,Ex,RL
309000,5,2004,2005,132.0,1117,1132,2452,3,9,3,691,Normal,WD,Gd,Ex,Gd,RL
145000,5,1994,1995,0.0,1097,1097,1097,1,6,2,672,Normal,WD,TA,Gd,TA,RL
153000,6,1954,1990,650.0,1297,1297,1297,1,5,2,498,Normal,WD,TA,TA,TA,RL
109000,7,1953,2007,0.0,1057,1057,1057,1,5,1,246,Abnorml,WD,Gd,TA,TA,RL
82000,5,1955,1955,0.0,0,1152,1152,2,6,0,0,AdjLand,WD,Fa,None,TA,RL
160000,5,1965,1965,101.0,1088,1324,1324,2,6,2,440,Abnorml,WD,TA,TA,TA,RL
170000,6,1959,1959,0.0,1350,1328,1328,1,5,1,308,Normal,WD,TA,TA,TA,RL
144000,7,1983,1983,0.0,840,884,884,1,5,2,504,Normal,WD,Gd,Gd,TA,RL
130250,6,1975,1980,0.0,938,938,938,1,5,1,308,Normal,WD,TA,Gd,TA,RL
141000,6,1959,1959,0.0,1150,1150,1150,1,6,1,300,Normal,WD,TA,TA,TA,RL
319900,5,2005,2005,412.0,1752,1752,1752,2,6,2,576,Normal,WD,Ex,Ex,Ex,RL
239686,5,2003,2003,0.0,1434,1518,2149,1,6,2,670,Abnorml,WD,Gd,Ex,Gd,RL
249700,5,2006,2006,0.0,1656,1656,1656,2,7,3,826,Normal,WD,Gd,Gd,Gd,FV
113000,5,1920,2008,0.0,736,736,1452,2,8,0,0,Partial,New,TA,TA,TA,RM
127000,7,1966,1966,0.0,955,955,955,1,6,1,386,Normal,WD,TA,TA,TA,RL
177000,6,1997,1997,0.0,794,794,1470,2,6,2,388,Normal,WD,TA,Gd,TA,RL
114500,6,1934,1950,0.0,816,816,1176,1,6,2,528,Normal,WD,TA,TA,TA,RM
110000,5,1963,1963,0.0,816,816,816,1,5,2,516,Normal,WD,TA,Gd,Fa,RM
385000,5,1981,1987,0.0,1842,1842,1842,0,5,3,894,Normal,WD,Gd,Ex,Gd,RL
130000,5,1955,1955,0.0,384,1360,1360,1,6,2,572,Normal,WD,TA,TA,TA,RL
180500,5,1964,1964,272.0,1425,1425,1425,2,7,2,576,Normal,WD,TA,TA,TA,RL
172500,5,1999,2000,456.0,970,983,1739,2,7,2,480,Abnorml,WD,Gd,Gd,Gd,FV
196500,5,2004,2004,0.0,860,860,1720,2,7,2,565,Normal,WD,Gd,Gd,Gd,RL
438780,5,2006,2006,1031.0,1410,1426,2945,3,10,3,641,Partial,New,Gd,Ex,Ex,RL
124900,7,1972,1972,0.0,780,780,780,1,4,1,352,Normal,WD,TA,TA,TA,RL
158000,5,2004,2004,0.0,1158,1158,1158,1,5,2,576,Partial,New,Gd,Gd,TA,RL
101000,7,1920,1996,0.0,530,581,1111,1,6,1,288,Normal,WD,Fa,TA,TA,RM
202500,5,2006,2006,178.0,1370,1370,1370,2,6,2,484,Normal,WD,Gd,Gd,Gd,RL
140000,6,1921,1950,0.0,576,902,1710,2,9,2,480,Normal,WD,TA,TA,TA,RM
219500,5,1997,1998,573.0,1057,1057,2034,2,8,2,645,Normal,WD,Gd,Gd,TA,RL
317000,5,2004,2005,344.0,1143,1143,2473,2,9,3,852,Normal,WD,Gd,Ex,Gd,RL
180000,5,1970,1989,287.0,1947,2207,2207,2,7,2,576,Normal,WD,TA,Gd,TA,RL
226000,5,2003,2003,167.0,1453,1479,1479,2,7,2,558,Normal,WD,Gd,Gd,Gd,RL
80000,6,1945,1950,0.0,747,747,747,1,4,1,220,Normal,WD,TA,TA,TA,RM
225000,4,1953,1953,0.0,1304,1304,2287,2,7,2,667,Normal,WD,TA,TA,Gd,RL
244000,6,1973,1973,1115.0,2223,2223,2223,2,8,2,516,Normal,WD,TA,Gd,TA,RL
129500,6,1982,2006,0.0,845,845,845,1,4,2,360,Normal,WD,TA,TA,TA,RL
185000,5,1998,1998,40.0,832,885,1718,2,7,2,427,Normal,WD,TA,Gd,TA,RL
144900,7,1954,2003,104.0,1086,1086,1086,1,6,2,490,Normal,WD,TA,TA,TA,RL
107400,6,1915,1950,0.0,840,840,1605,2,8,1,379,Normal,WD,TA,Fa,Gd,RM
91000,5,1973,1973,0.0,462,526,988,1,5,1,297,Normal,WD,TA,Gd,TA,RM
135750,7,1956,1956,0.0,952,952,952,1,4,1,283,Normal,WD,TA,TA,TA,RL
127000,5,1948,2001,0.0,672,1072,1285,1,6,1,240,Normal,WD,TA,TA,TA,RM
136500,5,1968,1968,0.0,1768,1768,1768,2,8,0,0,Normal,WD,TA,TA,TA,RL
110000,6,1910,1981,0.0,440,682,1230,1,5,2,440,Normal,WD,TA,TA,TA,RM
